"","Marker","Gene.Symbol","gene_id","Ensembl.Gene.ID","A039981","A039974","A039962","A039968","A039980","A039953","A039961","A039978","A039952","A039969","A039958","A039976","A039971","A039973","A039977","A039959","A039972","A039956","A039970","A039975","A039966","A040093","A040095","A040096","A006746","A040098","A040100","A040105","A040106","A040107","A040108","A040109","A040111","A040112","A040113","A040114","A039967","A040104","A049252","A049247","A049250","A049233","A049246","A049236","A049237","A049229","A049248","A049227","A049242","A049243","A049239","A049231","A049244","A049245","A006690","A006748","A006747","A006745","A008279","A008282","A008275","A008280","A008283","A008289","A008273","A008286","A008287","A008277","A008278","A008281","A008288","A010857","A010845","A010850","A010844","A010848","A010849","A010853","A010858","A010912","A008274","A028339","A028331","A028332","A028340","A028334","A028333","A028335","A028337","A029219","A029218","A029215","A029224","A029228","A029225","A029220","A029229","A029214","A029217","A029221","A029222","A029227","A030210","A030204","A030205","A030207","A030212","A030213","A030206","A030214","A030992","A030981","A030982","A030996","A030997","A032148","A030983","A030985","A030986","A032142","A032147","A030984","A030987","A030991","A030995","A032139","A032149","A030988","A030989","A030990","A030993","A030994","A031000","A032145","A032154","A030999","A032137","A032143","A033913","A033914","A033912","A033915","A033916","A033917","A033918","A035447","og_Marker"
"11","CD2","CD2","ENSG00000116824.5","ENSG00000116824",388,190,204,210,35,457,2604,20,201,84,325,1545,47,198,745,944,228,4447,237,260,586,148,58,147,3754,178,72,1243,346,638,209,979,402,3779,82,394,37,256,388,4,69,178,43,285,63,499,45,21,1616,174,951,1415,135,1766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2240,1292,172,1974,237,207,365,228,1174,314,753,3859,493,640,1237,5312,1566,288,347,822,1878,1865,70,1822,680,252,65,449,12320,5390,15,1543,1625,258,1782,79,86,244,103,1593,219,74,1931,357,106,1891,1397,646,881,442,513,1364,7958,8,876,2177,5463,561,39,515,165,264,132,384,275,"CD2"
"12","CD11c","ITGAX","ENSG00000140678.16","ENSG00000140678",10354.93,2541,897,386,5173.99,10493.84,11526.86,16627.99,3527,2972.99,4045,2235,8292,6939,18417.99,6688,4381,17033.95,19302,360,4283.87,4069,1267,2776,1517,1199,153,1006,2022,1948,3490,387,17074.95,3247.92,6524,1116,1447,10388.99,3961.67,2206,3303.95,1934.88,1779.31,555,1127,3771.52,13515.98,2181.15,2900.8,4026.65,760.48,350.59,395,1958.57,11202.99,7963,454,2331,17195,10364,3823,6100.99,993,9941.96,1329.96,3330,2386.99,699,2314,137,1125.94,5408,4661.23,2494,13343,18373.77,10203.74,25795.9,18976.99,6292,12179.97,342.56,44544.99,23283,7332,6402.94,7419,3277,3433,12951,19900.95,6801.34,1381,9533,11073,17543.94,13891.98,14064,6751,3616,26557.99,4392,19391.99,26341,2022.98,5821.94,112,5814.99,4585.98,13976.95,2876,3050.99,13175,2520,7974,12970,4712.97,691,8771.97,1834,7719,3141,1974,734,15721,2118,5026.97,8954.99,14493,33155,853,5710,5034,20468,3668,3810,13963,18911.75,10076,2423,34438,1840,6678,25927.99,1186.99,1384,"CD11c"
"13","CD61","ITGB3","ENSG00000149150.9","ENSG00000149150",702,346,1377,840,1945,1666,402,694,807,139,453,924,242,31,1137,344,159,509,782,109,468,157,2854,850,1857,2254,1662,540,1436,2334,1704,1810,2461,1085,5921,5460,348,253,2770,85,2313,811,291,101,1270,1062,575,697,565,558,1515,164,657,756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,1494,138,478,33,666,168,1661,152,767,584,139,218,233,470,431,55,96,120,54,137,345,195,251,190,1725,118,241,747,533,435,621,2299,136,634,79,93,977,223,316,62,69,207,1861,51,1118,457,261,882,2677,1636,2422,569,28,725,441,501,3493,1011,360,1501,1815,492,650,103,"CD61"
"14","CD56","NCAM1","ENSG00000149294.16","ENSG00000149294",257.84,44,1044.32,168,30,1079.24,436,6,38,22,169,286,5,89,317,364.82,13,2220.73,309,35,975.17,58,21,300,862,159,18,392,70,363,305,204,211,230,89,29,32,65,111,4853.57,51,228,58,263.84,5150.61,113,72,13,1650.55,2900.38,191,34,15,349,90,212,8793.66,102,136,244,77,15,36,164,110,1879,148,35,432,96,80,981,72,793.82,79,64,1131.18,11,86,8,1083.96,40,233.75,53,382,32,32,23,23.8,202,22,315,24,66,98,418.46,1155.89,186,36,49,151,451,464,1600.83,128,42,55,6,70,414,359,1,277,11695.55,37,567.59,412,35,5786,325,87,492,0,44,29,4,270,63,29,98,77,45,361,1294,1,99,353.95,1175,226,116,595,84,31,2030.89,125,34,"CD56"
"15","CD8","CD8A","ENSG00000153563.15","ENSG00000153563",2300,641,244,1025,136,353,19584,31,1627,266,2143,6124,149,715,3495,3661,127,25803,749,771,1574,377,296,462,16335,1532,285,6878,1580,214,328,2101,2047,1010,661,1079,253,1578,695,13,130,733,355,950,56,1302,71,194,5566,506,1929,4788,489,5118,2549,809,1064,795,598,1446,381,153,2376,1414,3580,14587,2997,281,1951,1163,2247,24167,505,1234,2415,66411,18381,463,20985,102,5346,3432,1935,284,2108,215,170,554,463,3043,565,1521,1806,918,509,2369,11492,5674,1005,718,1918,3504,1949,235,5634,1230,732,77,1072,17138,2750,35,2751,5010,403,2784,23,6,213,376,655,135,68,2045,400,153,3027,2434,507,835,654,438,1939,10852,69,2450,1866,20760,1198,107,774,602,801,136,620,1192,"CD8"
"16","CD20","MS4A1","ENSG00000156738.17","ENSG00000156738",129,121,107,5418,0,1466,1405,31,96,7134,3030,3395,6000,4760,786,6450,14596,17,1214,838,44,14,165,295,6571,151,1386,672,264,340,331,3126,209,375,28,512,65,4428,602,39,118,101,16,586,112,4716,31,6,473,194,22089,112,83,389,17792,1173,180,277,1828,2119,263,268,150,14431,386,2655,3284,1365,739,29055,1901,38,94,736,15529,334,2102,27255,631,73,39,245,342,212,4689,30300,19633,70817,840,9341,17213,7655,5,78713,24748,5270,15802,10432,4230,6760,10851,6935,23822,155,22425,47415,3953,3884,24662,3097,411,16,60677,954,13887,12118,0,2,556,2546,17610,16,23,3372,368,11445,6428,44785,31107,3305,1103,721,1397,3271,6749,377,26581,16287,7320,4,1780,119,123,198,1292,23814,"CD20"
"17","CD117","KIT","ENSG00000157404.15","ENSG00000157404",925,3007,17915,25,3950,5249,116,7523,5766,9,35,3753,0,6,6229,112,6,151,3569,2,1089,23,11541,57,8157,12597,61,901,2222,1565,697,251,4378,351,1718,1767,775,26,2240,415,10496,394,276,20,142,6879,2481,859,181,5672,70,51,13,10872,420,13511,28082,6821,350,3784,25188,14464,4804,26,2687,22841,6,7,15744,15,2,59,490,9332,4,18,64,0,5,1327,2324,220,4947,1811,126,9,12,15,12727,35,15,182,105,13,29,56,82,25,32,46,16,25,86,41,49,27,404,5,39,134,1234,661,37,9041,34,109,85,553,152,422,53,80,1199,3520,4637,38,1657,261,3,3411,49248,27275,6075,99,13,5442,63,57,14605,29098,1159,203,8878,2431,123,8,"CD117"
"18","CD1","CD1A","ENSG00000158477.7","ENSG00000158477",37,0,7,25,0,0,107,0,0,12,19,54,0,10,163,45,5,131,40,42,2,0,0,5,43,2,0,5,6,80,16,38,20,112,0,3,0,24,2,0,2,0,0,5,5,19,0,3,9,10,76,6899.56,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,178.04,9,31,0,1,0,6,10,0,0,1,15,17,18,19,1,0,5,1,1,3,55,7,2,32,2,8,74,31,0,27,11,1,36,29,0,0,73,0,0,0,10,19,0,2118,11,11,124,0,9,10,105,0,8,28,14,60,0,72.68,36,0,124,16,21,"CD1"
"19","CD13","ANPEP","ENSG00000166825.14","ENSG00000166825",17310,7997,2400,482,20867,14678,8717,3716,2420,556,570,2496,121,380,26156,2090,63,13424,4470,20,3351,7466,4578,1802,3228,1226,85,365,3114,2709,2765,94,6340,4319,6243,3925,4758,2205,1620,546,731,8469,1763,1201,4761,3874,7762,1323,179,579,432,146,327,13463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,7025,6696,4762,295,552,528,15538,881,266,466,211,232,787,3193,1328,329,887,929,321,2276,1607,4200,1322,410,299,433,767,950,1046,250,1620,6739,89,2096,1257,448,2460,1193,656,896,219,1809,4911,255,2002,792,29,10971,3812,2132,10052,8067,13,12170,2316,1132,20131,5640,3565,307,6816,2693,566,250,"CD13"
"20","CD3","CD3D","ENSG00000167286.9","ENSG00000167286",1876,484,1917,688,9766,627,25925,98,5639,964,1581,12643,254,976,4210,4460,712,18873,1364,1437,4215,864,1513,976,14222,1344,351,8111,3346,726,847,2367,2572,15272,305,2031,1655,1334,1747,42,231,1109,450,756,320,1888,84,45,5642,1012,1761,30647,1017,8940,2610,6401,1413,2525,438,3999,636,296,38916,2140,2915,18643,3177,456,2811,1591,1628,17551,440,6165,1949,46341,16635,410,43764,159,9507,7956,2175,218,5705,461,812,890,1872,2871,751,1787,6010,1290,1631,5613,15973,3424,816,1054,2393,4259,4833,259,5831,2616,837,85,1085,112955,27326,44,4179,9797,798,7152,380,30,1145,1270,3641,97,337,10543,1446,314,12807,2240,1531,3422,1430,2072,5096,17079,102,3048,5347,29573,2533,113,832,884,606,365,798,1559,"CD3"
