,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109,PC110,PC111,PC112,PC113,PC114,PC115,PC116,PC117,PC118,PC119,PC120,PC121,PC122,PC123,PC124,PC125,PC126,PC127,PC128,PC129,PC130,PC131,PC132,PC133,PC134,PC135,PC136,PC137,PC138,PC139,PC140,PC141,PC142,PC143,PC144,PC145,PC146
A039956,51.11380025860438,33.82088209968358,-61.184270612106616,28.718534321135266,-32.31070101993088,43.68098284525602,44.47641104040992,1.959072163890064,-18.095806160472144,-5.830091969557792,-30.97403216751484,-2.6228309953684876,5.202231172188697,-2.276158669848547,-3.552163905107759,-10.149837035660662,-1.8130118726777393,3.853474070515557,4.01534236344559,-3.088450389661015,18.948866767286685,4.525311118096326,-19.128054229477748,-8.431334145351094,2.168774471223206,0.43135092689953103,4.203924796314461,-0.333960415276118,9.139261318433803,11.675118796466794,-0.0903335644629341,6.927706312009327,-6.117754075466505,-6.362019087688864,-4.075536950380378,-3.6575344856885597,2.0355187850470213,2.4879512164812945,-11.062588459313057,-8.41397652239718,2.0492903313685953,-11.84665344643795,2.3923342774059644,-7.28973602432999,4.034998710562263,0.5388965544333939,3.7854384754876604,3.175186472960461,2.7150376083652623,6.957997759667567,0.3632113667855033,-3.5002866696256643,-8.726871548502013,-1.9091450531921772,0.2776427580831909,-0.10049805061366597,-11.132687137958799,2.8956188035917934,3.557438547578899,4.967085893820505,0.8483897965450129,10.411107593486289,-0.028924917538572466,2.4400520843243303,-3.167109510468794,2.1281332465205134,-2.849140584797154,8.908417089071252,3.5576140779693475,7.609898451357688,0.7534311072732064,3.967294693218932,-5.476889230773078,-0.926640621292689,-3.5146911798330494,1.9830400328112376,3.720710745902822,1.126065836671149,6.762411879919879,-6.459181282489396,5.7974062175011145,1.8768415457580665,10.400617071898603,0.6376725593069746,7.836560265397385,-12.032917129566878,-15.300275330713518,-6.975972492862668,-11.112958348314404,2.5130313729058282,7.828523791444796,21.01980242289406,-7.499000714844631,-15.684687878063011,0.21991451619061922,-5.5805095686891155,-3.5530893005481334,-1.1936613809068446,9.606000069024347,-4.380629656919365,-3.1859700989470263,9.005584803575104,19.89589324267891,4.644011070105706,-4.728506295736504,3.881831901320095,-2.3994045419028587,-1.5400107128216796,5.311333774048188,-6.311789336762485,-4.510814871525488,-8.507888051460627,-8.718377588028053,-10.588391638704891,4.73959312752495,-14.30213562624177,-3.006078206002535,-1.1339350818390024,8.71774106243183,-0.09431921525667457,-6.876799955669952,-1.9844332690484436,19.636489302945897,16.936940523392696,-0.8557430259028489,-4.5476811428987896,7.529441476088158,-10.655532151685696,-5.246429471237223,-2.940642324939444,-6.342836352382376,0.9173893766265973,10.601464785070066,1.218118656786732,0.8603589559409155,-5.197963941409151,2.92821201763936,4.2995314323845335,-2.3339210591436585,0.6877775821284374,-3.9546956537581823,-2.1733945211820513,0.5516907700340316,0.7571510911312259,1.4473037161604931,-7.47222006574396e-14
A039970,53.22066468235684,11.23480437363282,-21.6745973427323,2.632033047824404,-28.581575020947298,26.83111299096005,22.709350512614744,-46.66589144558353,-18.140403119949905,-16.70090127479086,4.8436759858636576,11.570475094652236,-7.730330860845751,-9.63742936528888,-13.71715220297445,-4.466006767045015,-3.7007860443207963,15.332962879685136,-5.804602043177124,-0.017258230370553025,-6.368094295226419,2.066668005268554,1.6147136747650612,9.648122793216062,-4.266728093667921,-10.364030430891164,-5.059594332206815,0.9913313237596858,11.311307872987681,-0.2661152849858491,-4.353827947688277,-1.3605338216226879,-2.7864299510254096,-9.881023818895969,1.2279121985464592,11.888050025226852,0.3948277183365468,-2.6697020087036116,-2.7084282487919835,3.5701155445014234,-0.9049192942613953,2.26581806929731,2.636086366440379,-3.2127703767239084,-2.0134586813916737,-0.8127029614913144,0.593728493157939,14.205562765630438,1.1345288639289979,0.24997101433713284,2.423154336230715,-4.629538892289536,0.9969702705541437,5.883103345494529,-2.330330560980961,-1.7809055692791982,-4.3579805072359505,-3.511692217643837,2.3309632900400676,4.5912485415323605,-1.498826377836774,4.839361191391904,2.0051645244159384,-4.595362043101644,4.010693008487313,2.9697819667345593,1.3476723844424285,-1.171071428773885,1.0065229427738345,3.7562116317411087,5.327019941746155,-2.0383748289508676,-10.681135429629578,4.126353930321856,3.366615384284188,-3.2958857748064516,-3.327923813865074,3.3070743742066093,-3.3694587773263467,4.937577330010463,-1.0383053089283516,-1.336733944066565,0.35885479898688316,0.35641860026208455,5.61152029538274,-11.116899172114309,-5.050399389846553,-2.782863171714824,-3.296934990756484,-5.626223603641854,2.1426181017843193,-6.981284996136811,-8.218304396906596,2.556574719690954,2.012862862685095,3.249309030692539,4.836260023265682,-4.622053730532295,3.2803885974048845,-5.7796892240147635,5.071269298654318,3.2556179109600727,-1.5228667087222243,-3.4653328996102335,-1.9761445865095335,-6.322154884558995,-0.7149852601862902,-11.120857133431807,-5.906286835557327,-1.1172989431885187,5.089268305795621,7.488395219478139,0.009041275945467355,-0.6374407738309937,-2.534869839169346,1.5408615192077606,3.042559712009021,5.867467131024424,6.317191451927932,-2.479372810125655,2.021614236421637,-9.416194886849208,-8.194848797709618,-19.253391220129355,-11.536652263479018,-13.777621102537744,1.1280625453929805,1.4291747392834888,2.150781015253686,8.879132665305463,4.294634225265021,-6.339229741741759,-8.4769817339621,2.01200602406854,-15.68774090210862,-3.150885311056075,8.85363377629451,26.610652320107512,11.6415978783735,6.720877930539011,-16.803659040737788,-5.821264611862776,2.919661365940925,-2.798790342996647,12.947537284175198,-7.472220065743882e-14
A039973,-20.846678670232304,-21.474856217277768,-84.4197037789111,22.749299436588842,-15.523395433502802,-21.415487560498725,16.350154334619706,-0.6578011607971145,-13.852921351269188,-9.613472026763464,0.7854393398132674,-3.7887430546618583,-6.471880694254127,-7.4746879644326105,-5.435105690696811,-14.142682729752295,-5.449229341981206,3.7089463457429948,-8.42487641345072,4.276322879101874,-7.502080177510881,11.959605508158436,-3.828558044968934,6.490348665748798,-5.233504687398512,-1.390346775773457,2.4668471014492055,-3.573978442594753,-8.071873316058225,17.879472003252893,11.336715997102973,-14.980025360709991,-4.358607842509713,1.6785664898961872,1.8770253867910172,-3.297137912787247,-0.8844050971253844,-3.4379235630792357,-6.578704451044886,1.3087883451633378,6.541238983795576,3.8420361807627805,6.269150474834638,16.81201320787586,-3.656065049963389,-14.87078761990369,5.942616180622959,-27.830827739270227,-4.471134728244921,15.934323993530276,19.118099373257927,-11.875817865804615,-4.192822180067308,12.17096971387224,2.4084759501724835,-8.689214618183575,-12.847474978266211,-6.593752968043765,6.44739568022354,1.128892225320981,-2.5440597889348417,-11.028715418966554,1.269073285901121,1.669991906868395,7.784212019627434,2.474243321933296,11.710791921440602,9.256748654096805,-7.382758859080906,-18.889204639169424,4.577734526479781,-9.869527664160486,-7.434243231077634,3.2936722760920265,13.604073975915334,10.798639061245597,-8.424120936436331,-11.518344149983518,-6.747810182688594,2.795825025389163,5.391309957834166,9.621173549574701,-6.318787292624208,-11.80742621157499,-8.63406669279432,7.946627905699966,-5.606104750111439,-3.102480169496464,8.649978410682087,0.6403567048556223,-1.1791975672155308,4.654693539844006,-5.983631506018514,-11.940507500731222,9.73144194778748,-8.2883827462069,-2.0200330163266154,4.964567047540438,-4.366602169572928,-8.577760382725883,7.677773567971758,-10.574578500226375,-16.286872952787178,-8.776635403761027,-4.165969248412371,6.658319038760498,1.1893480589859466,1.7089678469283522,-5.59819492365811,0.7026302947787874,8.562228046435562,-8.297305421608378,5.049570563435907,-7.429651608850141,2.2466237395750888,-4.0189944970067275,1.7110164027177583,-11.997565221697311,-3.1726510985000393,-0.7829297766626756,9.31421819799552,-2.1695049733364287,5.406999505914794,-7.129551261267711,2.2919749024894442,5.102744130404543,5.455730116498827,-5.306214121766378,10.983905634349977,2.101486617215693,-7.995497586683626,3.0251020441316263,4.361555563778239,-0.2762824939637947,-0.8085032905804375,-1.3382680277567331,-4.955850395103872,0.9128760696679298,-2.204157196497734,-4.707835029404856,-0.26389364197590504,-4.51688976397762,2.2083554434030512,1.2640772063172832,3.9750799743480094,-7.472220065743859e-14
A039977,54.389569748500975,3.3900847738220756,-15.101318120165164,2.018811054871995,-43.24554357466556,22.603462946030117,17.332568584335288,-19.429417220324197,-10.178317701611984,-15.682539913307751,-11.41743382986246,20.47419119128745,-3.0105105639440524,6.7405995452841205,-0.2531501685002964,-2.5538173603263026,5.243883230771229,-5.7662478573414635,-8.123270641146512,11.145027326303392,-15.793936286145353,13.253244493746175,-4.428884676379187,-1.1136564454177005,4.0135792691217045,4.821679504082137,-13.838173911512076,5.689933870529468,-7.521760618762029,-1.686882692728613,6.077146018616133,-3.2455676455844333,-2.6366430397770357,2.945002162516614,-11.58477403006836,5.526285774268164,-10.830266424380271,1.8592081111774936,-1.691154963967134,-0.6826190219237207,-3.1814781687719025,-4.145434030098246,-2.885388293103591,3.0975892729028334,-7.407499062675156,-5.327956109427703,-2.4509879205039353,2.656714244960917,-5.556124559834655,-12.283247014274007,4.730212238589512,6.038227844470037,9.484743107059101,9.62866000990511,7.034548447658404,-1.9264240491328626,-1.8815567733254623,-11.440014831144765,-3.125605727724957,4.295235244646861,9.720046924386821,7.702652242532623,-9.903822812497445,-3.3263035980211577,-5.531108693232884,5.022847367003361,-4.28745417444951,0.9707256561433077,4.163804282144565,11.012965124462402,6.727303053857103,0.6605787226312785,-12.02685101100882,-3.7124107905479464,-12.765022484748243,-3.6658899012612745,-5.366558001751605,-2.717131706050064,-2.0619833127303053,-8.537635083311953,2.359718834394185,11.729202037435646,5.409126018505102,-1.93264751468097,-1.0114998853536403,-17.25417744129319,-11.554409414116213,0.9739281969187561,6.499346748691214,13.763141182087319,-7.347475221518128,-8.940891087265845,-13.562127121368835,-7.668371815198774,4.264247647876107,1.4158583368013813,15.378023368439095,-6.029608063278388,-18.458506153133484,-5.160410793354952,4.163325293410516,-11.649468278584324,8.152805951397207,8.50962012993632,6.06439858218397,-0.07698989938209552,2.3882308905974745,9.320835587068117,-3.7965849508901255,-0.02754669719013083,-2.5650242538367447,13.174853869540879,-9.970024672431311,11.845710441163664,20.355227349979927,4.902062470640403,7.716272102581307,-0.5121393265583805,8.32948493257417,-3.793024931035241,-5.428681618048832,6.589839778539179,1.108990084209717,-10.302566676888658,7.828642676422477,3.1665333102035116,-2.817954839794177,3.4192610272468364,1.095580248508386,-3.6057902755265596,-4.446381982128213,-7.166466174481785,-1.6881924644398973,2.096378895289055,7.504792602988488,7.190526632062935,-10.550366606916668,-7.314522657425866,0.23073917869257288,-0.4800758168553986,6.101756346579317,4.321693921069041,-1.2438636630809086,1.99468773226729,3.5546284827311077,-7.472220065743884e-14
A049227,117.6059939950712,-108.45347642351715,12.515773460716424,-5.227006644425184,36.834494993821096,-18.60958298060671,-12.222103871152694,21.302372785248043,12.367125806097278,36.82518446363586,29.785021554621174,56.447601147197815,-0.057962565101616535,32.98752852333362,20.910463255792436,6.3484346428446266,6.021646674126915,10.28868995627712,-9.318048261093889,-15.551239681618187,6.1442029826482445,27.20582445782291,-28.01662651090705,11.86108948633043,32.18907663017631,-19.87501678529645,-4.038024799563559,-22.03988891109476,5.137147532258532,-21.221672159112156,55.83628060649453,19.991405402658714,12.097136805671742,-26.082930136548036,13.769709994364304,0.7231514504053294,-11.593019155293659,-5.653237082845814,-3.4093865492308315,-36.86908178229294,0.984279132509978,-0.44089420302008175,-7.310234841970412,16.676659699286198,5.407087593084325,10.002263019291629,-2.944669367413927,13.577415278366232,-2.969780276918282,-0.029930421871617457,-8.765517521066261,-6.477917886381359,2.15670106492531,15.120016817959527,9.87359876647706,-4.820311031242315,-0.324386577330642,6.155292587458472,7.762493934372069,4.641895156633179,0.5898694189040237,-9.047491492979104,10.405793493405191,-0.21426950733453373,2.8234187125994805,1.2361175348282232,0.7890162147982445,6.57195567565385,2.3930776280142494,0.5213949577526407,-1.38925279758345,0.4910062059284071,5.392432037235893,-2.0480331412898383,0.45234415026475855,-2.793044148344967,-5.887327790279222,0.5380430942679405,3.7990890507275727,2.1732473665968968,4.066827684112069,1.1914531629629928,1.947283376044043,-1.501067680351295,5.730351147869968,2.775742496282163,1.833563361081099,2.398138666575082,-2.085561547710451,0.39515714177261374,0.12155759438036946,0.35861438054277633,-2.699202785898023,-1.3302077338859264,-2.5543681168086896,1.0774861248424357,-1.1956389117295625,1.9048771618152605,-1.7777237967169466,-0.034223793164153776,-0.29456017587216615,-0.29455279618222185,-2.390110043264061,1.2514401790636978,-1.7976483190183985,0.545258449296973,-1.6738607773067322,0.6453173303808049,-1.626456926072786,-1.205113168441662,-0.5039042882970918,-2.3489122640886637,0.14733578181761253,0.12107769794932736,0.19623840401738285,0.5304477707236464,0.8938970581210586,0.05003253210324128,-0.13614504550647064,1.1167012947888493,-1.4739150059714332,-0.07915093209759727,1.2205509527712641,-0.8920883837669655,-1.0825953378959554,2.0387398314422116,0.40634165816408674,0.07848343814732868,-0.011269664072324352,-0.37507135495858557,-0.09538418055833801,-0.5512717544863497,0.044701622973035766,-0.06707895981865918,-1.3544150220910374,0.24064462225962496,0.45590857205474944,0.5500387133253389,-0.7744628644517163,0.54505366410946,-2.1697533480345834,-0.6699217533399714,-0.23630797963520184,-0.2530227902415544,-0.13467022037572088,-7.472220065743887e-14
A040107,77.99948751850322,-16.649885966074812,6.792821447978612,17.820284613928045,-40.480540962760976,8.93729821235648,-15.775018259103389,-20.359790673743813,5.1551397988472365,7.811105825368682,27.630265111960576,-26.70601373352501,17.62988676288201,3.649044996280307,-2.5933817055024067,8.572318291991047,6.5989262703564675,3.7273411719100693,9.870813552400392,6.088129906180681,12.565787720310759,7.931610060744796,0.021344458208119862,10.893211269437856,3.809064281450889,-7.9675521452909255,-5.037466915486631,10.1176083978091,-0.776796936475933,1.35557098451158,3.0819029554367705,12.149701169542961,13.6759930224894,1.612493457656507,-7.214203601800542,-13.278860655988128,12.558750344793928,4.6473568041185365,16.455115995032738,1.0876391755749908,-14.861691189291083,5.159157384980097,-2.5456411557591268,-19.270029438718257,11.574724105998936,-21.38697951150285,-2.612838964495827,-0.9018132503501932,3.533263171908534,-10.891701232309567,-6.262072561731443,1.9185701071868682,-6.618269004235542,4.239721479986058,13.9203192080477,9.628177765678869,-7.5381579500398,-12.150960330775915,-2.827789347821108,13.408397375565205,-6.598201904837099,-14.60978803454465,15.689802229404075,2.9087190983563,-0.4938289966080591,-23.798827234246694,2.7933144293723178,-30.993097954288814,29.51360789391073,-3.5374475539288355,17.9561462666333,-24.695945861507333,8.187867727925786,1.0607859195261542,-7.818102363846877,3.9187396204455873,16.626643400399413,-3.9829365660981604,-0.7072665063852563,20.189444936624216,0.6144791155857201,13.280490085508001,-7.8123285911147535,-1.671979899529993,-4.708918698176454,-8.910900527082717,-7.294754903615896,-0.7810898448641896,0.486878888536041,2.7397069042249766,-1.5450672121793296,8.282330693604457,-6.798178073302313,-1.7736578088522448,5.996230152983953,3.424087210373124,-0.9028036199401903,2.0689284771888663,-1.576257445156841,1.7128449816029399,-1.2805109325784612,1.3829873889821702,-1.4602765766309858,2.0930616361892094,2.7195723518874755,3.4114212318638133,-0.9444742988796602,-2.1364552135384307,5.380641175443821,2.3382527605335177,-2.2595757429053895,-0.19282255045517763,0.7698992767780102,0.9588514229910943,-3.1507142711476925,-0.627817746738043,-0.21156264541877157,2.00989872624088,-1.4250678524345117,-0.46972249201186334,4.871732755146407,-0.8608477606605152,-1.1900075973210158,2.1908197365006323,0.7788740065646025,0.8121255561114998,0.031218213157798023,-0.7325137589805881,0.294932982620542,1.209434273572828,-2.755046171246398,1.8502506535358147,0.9565803569564768,-0.1335085070930247,-0.2993397608112484,-0.14858932620485438,0.3425712247798268,-0.06407716859749114,-0.39387544443331,0.12597067722917707,1.3219794774368605,-0.3055457667324329,1.075099497699056,0.25172691371312816,-0.8078596906869747,-7.472220065743893e-14
A028331,-40.76622214336089,1.937290958972495,77.19404735486498,-44.90773790957324,-13.887638144107694,39.04754248968492,-11.655717502542279,-39.69990749528918,9.731928598166489,6.536616055622406,-31.753283051326843,-8.840354000237253,26.02513196042465,-2.1787603928630555,-2.138565338012735,-11.840528904875164,8.172837823346716,-18.34616190240121,-7.89234301641062,-6.192628111979465,18.093926239231685,3.421210739478405,7.694611581616939,-5.405073931938832,-2.2741697850054936,-1.2306497304525321,-20.31629750660145,-16.23705725494552,-3.893939923303481,4.142840564946133,4.125591260395983,-3.3609986060568535,-14.89899562219578,6.1055370015658985,-16.889948393972677,4.435890529183169,-7.263829665521144,3.941753463966122,-7.089726647753107,-2.1652319629681647,0.33414795987623586,-5.519435182362718,-5.03714991064804,-3.309372244536301,20.456232803081384,-12.768293071671318,2.1668230018783623,-4.9215752120589356,1.06813367978956,-8.809333160708759,-4.942319507375006,1.4443334332692233,-5.8659350915795185,20.99285618503916,6.138903212838716,13.143102967335125,-8.586758365890049,1.4313099414251087,12.147560866949068,4.640027340330968,-11.893560886685496,-2.0199961244335514,-0.049181189339999556,1.2945538401241352,-2.5006255268631827,25.19494852509661,-2.3930305662384876,11.038272649403511,-2.465078350137479,2.677031696905792,-14.429894948980666,-14.631920828213078,2.2357007673118505,-7.776003899810683,-17.912771776951406,-17.870387893344898,6.965495507998878,5.869468804009826,-7.437909863965578,-5.516166375313011,0.9557873796626652,8.38244274068643,10.752756727122913,3.129407871393692,-13.521210336892343,7.24526838210869,7.509604579352667,5.9200459057627635,-9.740553645666447,10.95014445277997,6.367785519189384,-10.405960002097569,1.5819632728646282,6.079699221964265,11.993722874065712,-4.29290838872555,-7.542047232614134,7.654130972075247,-2.215351329470904,-9.243617566740541,1.7553514674220467,2.7870702439015322,-3.389141553183713,-15.267656711312805,-6.756904642215885,-9.96800406081786,1.4774519097805623,-4.259529167150341,5.887515808734531,5.635220745175786,1.3581789741849546,3.592665879837208,0.5977101262894189,-1.5054384075519802,1.8178219027186948,0.8390716322945206,1.923750348890456,-2.701336648693184,-7.589215187275658,3.9524103470079863,4.803437531185,2.4334658360817523,1.4980910537922036,3.508563103830137,-5.781576183269769,3.1425680633693456,-0.9737625867895928,2.825953268631058,-3.0288630481539034,-4.0816964202002435,-4.609398303348991,5.863495309163547,2.3706939865439445,-0.3396106595759916,-4.059627651647217,-1.01039746871644,0.9963212387651965,2.9992738947266355,-1.2547480124249843,4.72100814709152,-2.077725229602207,0.051611626533934515,-0.9826354251906513,-2.174336211991623,-1.4526741177169091,-7.472220065743926e-14
A040095,46.45494623141883,-23.683733921364517,-3.6113927851377055,-56.02036517418334,-1.855674364357485,-10.056843759555592,-7.339090552676161,-12.800305012027522,-33.432360620220884,6.552545293013867,-2.2707465536889893,-16.293737305069143,7.099874951634511,-12.441564207273228,-4.283617051915312,-8.117899662260932,0.5284389923212636,-15.710846526210373,-11.243028795873979,-7.195889171054337,-8.483810271524689,19.85923238912198,-0.047980879704762794,-0.8967859155760008,14.947919114650038,6.756389787022508,-16.655069101042272,-13.730217080974619,-0.4878524223531307,-7.679245708423445,-6.634172291780419,-7.860809711098586,-0.2713019786279057,20.36222150805188,-5.73276291432978,-11.351509921787564,-5.914427623433416,9.618765001312196,16.892748978043635,0.25016155766441156,-5.043914437748095,-3.0345954850606254,-3.5125277197865032,2.9712962787837003,11.070085285051455,8.337411300688164,-1.4309947550997741,0.6159687133270895,-3.784311950119178,6.540307517442234,-10.706771198094314,14.525266241919486,6.440067230488968,0.49579070088046606,2.155433864139521,-1.1167826026768357,-17.42431636241713,8.915947859709012,-8.560771843188014,7.732417207110299,12.208978755903713,15.2073998304924,7.375613554469745,3.8518116408220764,-8.669973936239217,-3.9996625954033163,-5.3432967479377735,2.3159832464537606,8.489967470886308,-8.289443532655275,-0.8160800451547682,5.570979540318525,3.650238486475273,-3.2979300815127814,9.786436984454937,-3.0062653051311097,-9.540137608111541,4.725353848794054,-6.45068048419352,-3.966230750873896,-10.992409420444742,0.8509704421129304,-7.191543683567733,-3.173511458769896,7.671641630289404,1.5922739430251642,0.07519744324187484,2.707493521018245,21.78370652325649,-8.166299081222316,16.9845585529617,-10.192047960574081,0.6831508742517594,-5.0439304710523025,-7.2013997730959245,9.479041359370179,-9.654327149302388,-1.7256632188494996,8.666672329207037,-15.215123363041887,-2.8115124345790123,0.9241575287970193,7.266799146847403,2.5188117368009038,-10.232347796871075,12.022855134166244,3.6381216350410397,0.24018352585490985,9.907194831046958,10.461334912097607,0.11200243796661807,-4.670484225072092,-19.062922008336304,-9.492278494001614,-8.222745667584638,-4.773159329723475,12.302196072930823,-2.559050121090892,3.3074185510398926,-5.2022680612736805,4.697551918335343,0.25316940594420734,-9.845828121517037,-3.4488058137356985,7.816670546979233,3.5460715076112286,2.8486015117495644,-3.0288397078755023,2.0239743167592565,3.6748182796876008,2.7339173407783868,2.5916159275079385,-2.9607283993365723,-2.628240749917209,-1.351256265877515,-3.4901009140328845,-1.2575788026190367,-2.7980637260787105,5.3790369092493195,-0.803362103603843,1.6861286698072757,-0.24462271859686133,-0.3325085829079779,-0.35801725964416675,-0.29924979111612693,-7.47222006574392e-14
A040104,-20.71692590114316,-37.470738480355735,-57.099884695334836,15.519222000847577,-29.281421755145637,0.9703352270770652,19.528855337045066,-0.3080395025626005,-20.49354868485993,-6.192124014582838,-2.3186403414521757,5.198184359556111,-1.8782325876598311,-7.478798673479353,-5.3088726928975944,1.227204264048765,-0.3888200134966747,-5.875379292818227,-5.929051582666429,8.728565063203767,-14.468375597827963,5.840307145498293,4.39190811329776,-0.7241979454791123,4.257115310134874,9.220026079176135,-6.761205221230215,8.76545360339787,-6.383740596609854,-10.877344685440818,1.5015096925917242,-4.578471629086595,3.1010584065717306,5.800779954515132,-5.040126037287712,8.686490483310328,-6.579404131621515,13.795010861993381,-0.4627350097427096,-1.5339284378168858,-0.24212189964464054,12.188625113548866,3.691525513263844,2.4685888025803973,-8.639656617946262,-2.1705781047098442,2.1388089389052523,-4.934124743433244,-0.9986891353731594,1.9061646571515178,-6.36017973862813,0.9658263493135105,7.527934917162151,4.001057526546435,-9.004652691510124,-5.181205519366472,7.937351557031503,10.168049623570614,-13.237422103565999,12.348189938074043,-7.752260686941602,-4.022852984618722,2.4715817843672423,-9.482864114710116,-0.9183615840617246,7.709844101858558,0.9691523135410703,-10.299546149909583,-4.550739291749593,-1.5048012035925895,-4.144077001604115,11.331846687900287,1.5161053121996115,-7.267388437748633,-2.8346084562783993,3.658487644477761,-0.40299677810923556,18.775603146635113,12.21524479934217,2.9259687540664783,-3.7167832824989344,1.4312619936073183,-14.814455356955396,-10.605457796971377,11.294025766267765,-16.665263232475496,2.1823764429101713,15.123388402891543,-9.057143972733883,4.210521852766431,-7.139012564705827,6.76048772556361,1.5593672802930965,14.129798768717075,3.6218773214939373,-13.746800601415693,-5.244544305856288,13.225586301596799,-0.5765312593357573,8.315959758894559,-7.710131452756165,13.844973866644914,-8.294214348869536,6.373506780962795,-20.433871262777945,1.0436391982509836,-19.04374783915972,-6.693562550643934,3.727425891475623,8.3305854787907,8.141319206211188,2.7062983173954955,8.339470323794838,5.1979147021363055,4.424201752673637,-2.7877746006527953,5.807617926451741,-1.3011576335442834,8.622931023114253,5.004253130883696,5.89469542139371,16.002011562040515,-2.706384052517921,1.014325218227648,1.597668566485818,2.087811298700161,1.840800830730596,-1.836149568293161,2.466128178459322,-2.3929192460545994,-6.326208695037917,3.4000478198992856,3.393703943350445,7.098702481056983,0.06325701048919768,-1.6726059587406485,0.46016987969881157,-3.5106697489381915,2.3904059935404556,-1.3560840352315469,-6.61356251777671,-1.2877221394154441,-4.61090614680271,5.122752236662782,-0.08301951085825308,-7.472220065743909e-14
A040105,29.45473907108923,-27.758522237137544,-6.27364035122689,-14.960335690459958,-34.808369469708694,1.1603737133028533,-26.694266485161265,42.918804919480586,-10.265199315385699,-12.47427614766908,-1.9122543669599232,-9.713704788261293,-8.011272600566132,-13.615396417887364,-15.854074330223249,10.999307069287521,-13.464056472725892,6.251028125126256,-3.3032395715591263,-1.8257893118494748,-5.383903498282116,-7.099222187921872,6.363862935089987,-14.414050907456641,-3.1198832977081103,8.401615846158387,-2.9846605677490885,-5.758601094129709,1.405038225170753,-7.998009761181552,4.943478222927517,0.3704002184702304,3.4803800858118166,0.6920368367660281,-0.06976862803745948,3.385690927888936,-1.7021278887559725,-7.1452759304649796,-2.472359981297831,0.29882312286659507,-5.473847648982312,7.408004537979529,6.0707075529037535,1.2273492363722909,-1.201143674159558,-3.87779716030827,-2.7358257488182858,7.143018016639097,2.3411105540223427,3.382177430283624,-15.398638381664503,-0.7093921137861888,-3.8608848647893925,-3.840894877105905,11.443784896689662,-1.9175813102161379,1.1840848620336646,-5.444135429426411,10.127090273880523,7.895749913728132,4.251338124647974,-6.2520180330962685,-3.5676344135282663,9.748563444442006,4.349625169165798,-6.68723683558901,-2.7281564615340614,1.1119533492763565,9.845249840620768,0.7039971651349027,1.3108597793859789,13.742539484465963,3.672836518272105,-2.1656100450553386,10.954863340879829,5.530449784254257,17.131461409429555,-14.558316152290466,-13.729187290281477,-2.4960954599941423,8.740651639090911,-8.788209475163345,15.669343281648716,0.1267002740573575,-16.99058471368328,10.222446141562633,-1.2614857933923518,10.105636120934907,-1.4668760879257972,10.659898155596373,-18.198994269889003,10.978080759344735,21.365169196857124,-4.483576617910123,-23.13777922360748,-11.938748990688945,9.187159481818485,0.897963082879226,-1.018247324921081,-9.504591322050112,12.24764775521458,10.735652013102179,6.718421913867822,-4.913051667635231,-15.558506708185108,3.2927366843085673,4.484526164864047,-9.699232882079487,-0.08250912413116451,11.891757490720657,-1.2804226969930221,3.1592669152582338,-3.9965435347209066,3.3744010459111653,11.339527552732353,4.194906792206394,3.8084923039517578,-8.103929443505752,6.261735541826104,-4.821886034318543,0.6520178046038223,-1.3117476151875709,-3.2489749467623206,2.109327653247848,-5.444578402758773,-0.808443324148283,-0.3785430337220674,2.404279697155033,4.589244545355383,1.8348773752557352,2.0928578234593576,1.580071083033487,-3.246786340412107,1.7936204151083424,-0.5998321141511543,4.075768026285075,1.9514743202439357,-0.02992333156727322,3.4274677888380336,2.387711417210941,-0.5663452650607307,-0.4796851606302364,-0.8099272458562184,1.0791312171145229,3.2274135980433516,-7.472220065743913e-14
