"Cluster"
"AML1"
"AML1"
"AML1"
"AML1"
"AML2"
"AML1"
"AML1"
"AML2"
"AML1"
"AML1"
"AML1"
"AML2"
"AML2"
"AML2"
"AML2"
"AML1"
"AML2"
"AML2"
"AML1"
"AML2"
"AML2"
"AML2"
"AML2"
"AML2"
"AML1"
"AML1"
"AML1"
"AML2"
"AML2"
"AML1"
"AML1"
"AML2"
"AML2"
"AML2"
"AML2"
"AML2"
"AML1"
"AML2"
"AML1"
"AML2"
"AML2"
"AML2"
"AML1"
"AML2"
"AML1"
"AML1"
"AML1"
"AML2"
"AML1"
"AML1"
"AML2"
"AML2"
"AML1"
"AML2"
"AML1"
"AML1"
"AML1"
"AML2"
"AML1"
"AML2"
"AML1"
"AML1"
"AML1"
"CLL3"
"CLL3"
"CLL1"
"CLL2"
"CLL2"
"CLL3"
"CLL2"
"CLL2"
"CLL1"
"CLL2"
"CLL2"
"CLL2"
"CLL2"
"CLL2"
"CLL2"
"CLL2"
"CLL2"
"CLL2"
"CLL1"
"CLL2"
"CLL1"
"CLL2"
"CLL2"
"CLL2"
"CLL2"
"CLL3"
"CLL1"
"CLL1"
"CLL1"
"CLL2"
"CLL2"
"CLL2"
"CLL1"
"CLL2"
"CLL1"
"CLL1"
"CLL2"
"CLL2"
"CLL2"
"CLL3"
"CLL2"
"CLL3"
"CLL2"
"CLL2"
"CLL2"
"CLL2"
"CLL2"
"CLL3"
"CLL3"
